First,Surname,Sex,Lat,Lon,DOB,Age,Status,CHN,Smoker,Pets,Link,Other
Lily,Turner,Female,53.343889,-6.253611, 1968-09-05,55,To be matched,CHN10,Yes,No,,
Oliver,Moore,Male,53.383333,-6.416667, 1957-07-30,66,Matched,CHN11,No,Yes,,
Olivia,Smith,Female,53.380556,-6.414444, 1964-02-14,60,Matched,CHN11,No,No,,
Liam,Johnson,Male,53.378056,-6.413333, 1959-06-03,64,To be matched,CHN11,No,No,,
Emma,Brown,Female,53.384444,-6.415833, 1966-04-25,57,Matched,CHN11,No,No,,
James,Williams,Male,53.379167,-6.413889, 1963-10-11,60,Matched,CHN11,Yes,No,,
Sophia,Anderson,Female,53.382222,-6.416111, 1958-12-29,65,To be matched,CHN11,No,No,,
Lucas,Jones,Male,53.385,-6.417778, 1956-03-08,68,Matched,CHN11,No,No,,
Ava,Taylor,Female,53.380556,-6.414444, 1957-07-17,66,To be matched,CHN11,No,Yes,,
Ethan,Clark,Male,53.381111,-6.415278, 1960-09-14,63,Matched,CHN11,No,No,,
Mia,Lewis,Female,53.379722,-6.414167, 1959-01-02,65,To be matched,CHN11,Yes,No,,
Logan,Miller,Male,53.383333,-6.416667, 1967-04-19,56,Matched,CHN11,No,No,,
Oliver,Hall,Male,53.378056,-6.413333, 1965-11-30,58,Matched,CHN11,No,No,,
Charlotte,Scott,Female,53.382222,-6.416111, 1968-08-20,55,To be matched,CHN11,No,No,,
Benjamin,Turner,Male,53.385,-6.417778, 1963-05-07,60,Matched,CHN11,No,No,,
Sophia,Parker,Female,53.380556,-6.414444, 1957-02-14,67,To be matched,CHN11,Yes,Yes,,
William,Adams,Male,53.381111,-6.415278, 1966-07-06,57,Matched,CHN11,No,No,,
Ella,Wilson,Female,53.379722,-6.414167, 1959-10-31,64,To be matched,CHN11,No,No,,
Aria,Reed,Female,53.383333,-6.416667, 1958-01-15,66,Matched,CHN11,No,No,,
Jacob,Carter,Male,53.378056,-6.413333, 1963-03-29,61,Matched,CHN11,No,No,,
Lily,Turner,Female,53.382222,-6.416111, 1956-06-20,67,To be matched,CHN11,Yes,No,,
Oliver,Moore,Male,53.380556,-6.414444, 1960-12-11,63,Matched,CHN11,No,No,,
Olivia,Smith,Female,53.378056,-6.413333, 1961-09-07,62,Matched,CHN11,No,Yes,,
Liam,Johnson,Male,53.384444,-6.415833, 1966-08-12,57,To be matched,CHN11,No,No,,
Emma,Brown,Female,53.379167,-6.413889, 1965-04-05,58,Matched,CHN11,No,No,,
James,Williams,Male,53.382222,-6.416111, 1967-11-09,56,Matched,CHN11,Yes,No,,
Sophia,Anderson,Female,53.385,-6.417778, 1961-02-23,63,To be matched,CHN11,No,No,,
Lucas,Jones,Male,53.380556,-6.414444, 1964-10-16,59,Matched,CHN11,No,No,,
Ava,Taylor,Female,53.381111,-6.415278, 1967-07-19,56,To be matched,CHN11,No,No,,
Ethan,Clark,Male,53.378056,-6.413333, 1962-12-03,61,Matched,CHN11,No,Yes,,
Mia,Lewis,Female,53.383333,-6.416667, 1958-03-18,66,To be matched,CHN11,Yes,No,,
Logan,Miller,Male,53.380556,-6.414444, 1957-09-14,66,Matched,CHN11,No,No,,
Oliver,Hall,Male,53.384444,-6.415833, 1964-01-28,60,Matched,CHN11,No,No,,
Charlotte,Scott,Female,53.379167,-6.413889, 1968-05-07,55,To be matched,CHN11,No,No,,
Benjamin,Turner,Male,53.382222,-6.416111, 1959-11-02,64,Matched,CHN11,No,No,,
Sophia,Parker,Female,53.385,-6.417778, 1966-08-01,57,To be matched,CHN11,Yes,No,,
William,Adams,Male,53.380556,-6.414444, 1962-04-16,61,Matched,CHN11,No,Yes,,
Ella,Wilson,Female,53.381111,-6.415278, 1965-05-25,58,To be matched,CHN11,No,No,,
Aria,Reed,Female,53.378056,-6.413333, 1956-07-12,67,Matched,CHN11,No,No,,
Jacob,Carter,Male,53.383333,-6.416667, 1963-10-24,60,Matched,CHN11,No,No,,
Lily,Turner,Female,53.380556,-6.414444, 1959-08-10,64,To be matched,CHN11,Yes,No,,
Oliver,Moore,Male,53.384444,-6.415833, 1960-03-27,64,Matched,CHN11,No,No,,
Olivia,Smith,Female,53.379167,-6.413889, 1957-04-09,66,Matched,CHN11,No,No,,
Liam,Johnson,Male,53.382222,-6.416111, 1964-06-14,59,To be matched,CHN11,No,Yes,,
Emma,Brown,Female,53.385,-6.417778, 1967-09-27,56,Matched,CHN11,No,No,,
Oliver,Moore,Male,53.346389,-6.420556, 1969-01-30,55,Matched,CHN12,Yes,No,,
Olivia,Smith,Female,53.347222,-6.419444, 1956-02-05,68,To be matched,CHN12,No,No,,
Liam,Johnson,Male,53.345833,-6.418333, 1961-03-21,63,Matched,CHN12,No,No,,
Emma,Brown,Female,53.347222,-6.419444, 1967-04-15,56,To be matched,CHN12,No,No,,
James,Williams,Male,53.346389,-6.420556, 1969-05-12,54,Matched,CHN12,No,No,,
Sophia,Anderson,Female,53.347222,-6.419444, 1965-11-08,58,To be matched,CHN12,Yes,Yes,,
Lucas,Jones,Male,53.345833,-6.418333, 1960-08-22,63,Matched,CHN12,No,No,,
Ava,Taylor,Female,53.346389,-6.420556, 1958-01-11,66,Matched,CHN12,No,No,,
Ethan,Clark,Male,53.347222,-6.419444, 1963-07-01,60,To be matched,CHN12,No,No,,
Mia,Lewis,Female,53.345833,-6.418333, 1966-02-14,58,Matched,CHN12,No,No,,
Logan,Miller,Male,53.346389,-6.420556, 1962-09-09,61,To be matched,CHN12,Yes,No,,
Oliver,Hall,Male,53.347222,-6.419444, 1964-11-05,59,Matched,CHN12,No,No,,
Charlotte,Scott,Female,53.345833,-6.418333, 1961-12-19,62,To be matched,CHN12,No,Yes,,
Benjamin,Turner,Male,53.346389,-6.420556, 1956-10-28,67,Matched,CHN12,No,No,,
Sophia,Parker,Female,53.347222,-6.419444, 1968-03-04,56,Matched,CHN12,No,No,,
William,Adams,Male,53.345833,-6.418333, 1960-06-15,63,To be matched,CHN12,Yes,No,,
Ella,Wilson,Female,53.346389,-6.420556, 1959-07-09,64,Matched,CHN12,No,No,,
Aria,Reed,Female,53.347222,-6.419444, 1967-01-26,57,Matched,CHN12,No,No,,
Jacob,Carter,Male,53.345833,-6.418333, 1969-06-17,54,To be matched,CHN12,No,No,,
Lily,Turner,Female,53.346389,-6.420556, 1957-04-02,67,Matched,CHN12,No,Yes,,
Oliver,Moore,Male,53.347222,-6.419444, 1965-05-29,58,To be matched,CHN12,Yes,No,,
Olivia,Smith,Female,53.345833,-6.418333, 1961-02-15,63,Matched,CHN12,No,No,,
Liam,Johnson,Male,53.346389,-6.420556, 1958-11-08,65,To be matched,CHN12,No,No,,
Emma,Brown,Female,53.347222,-6.419444, 1964-07-21,59,Matched,CHN12,No,No,,
James,Williams,Male,53.345833,-6.418333, 1962-08-07,61,Matched,CHN12,No,No,,
Sophia,Anderson,Female,53.346389,-6.420556, 1963-09-23,60,To be matched,CHN12,Yes,No,,
Lucas,Jones,Male,53.347222,-6.419444, 1960-10-12,63,Matched,CHN12,No,Yes,,
Ava,Taylor,Female,53.345833,-6.418333, 1956-03-01,68,Matched,CHN12,No,No,,
Ethan,Clark,Male,53.346389,-6.420556, 1965-08-15,58,To be matched,CHN12,No,No,,
Mia,Lewis,Female,53.347222,-6.419444, 1958-03-22,66,Matched,CHN12,No,No,,
Logan,Miller,Male,53.345833,-6.418333, 1962-12-09,61,To be matched,CHN12,Yes,No,,
Oliver,Hall,Male,53.346389,-6.420556, 1970-06-18,53,Matched,CHN12,No,No,,
Charlotte,Scott,Female,53.347222,-6.419444, 1968-09-05,55,To be matched,CHN12,No,No,,
Benjamin,Turner,Male,53.345833,-6.418333, 1957-07-30,66,Matched,CHN12,No,Yes,,
Sophia,Parker,Female,53.346389,-6.420556, 1964-02-14,60,Matched,CHN12,No,No,,
William,Adams,Male,53.347222,-6.419444, 1959-06-03,64,To be matched,CHN12,Yes,No,,
Ella,Wilson,Female,53.345833,-6.418333, 1966-04-25,57,Matched,CHN12,No,No,,
Aria,Reed,Female,53.346389,-6.420556, 1963-10-11,60,Matched,CHN12,No,No,,
Jacob,Carter,Male,53.347222,-6.419444, 1958-12-29,65,To be matched,CHN12,No,No,,
Lily,Turner,Female,53.345833,-6.418333, 1956-03-08,68,Matched,CHN12,No,No,,
Oliver,Moore,Male,53.346389,-6.420556, 1957-07-17,66,To be matched,CHN12,Yes,Yes,,
Oliver,Moore,Male,53.334722,-6.416389, 1960-09-14,63,Matched,CHN13,No,No,,
Olivia,Smith,Female,53.335556,-6.417222, 1959-01-02,65,To be matched,CHN13,No,No,,
Liam,Johnson,Male,53.335,-6.416111, 1967-04-19,56,Matched,CHN13,No,No,,
Emma,Brown,Female,53.334444,-6.417222, 1965-11-30,58,Matched,CHN13,No,No,,
James,Williams,Male,53.335278,-6.416944, 1968-08-20,55,To be matched,CHN13,Yes,No,,
Sophia,Anderson,Female,53.334722,-6.416389, 1963-05-07,60,Matched,CHN13,No,No,,
Lucas,Jones,Male,53.335833,-6.4175, 1957-02-14,67,Matched,CHN13,No,Yes,,
Ava,Taylor,Female,53.334444,-6.417222, 1966-07-06,57,To be matched,CHN13,No,No,,
Ethan,Clark,Male,53.335278,-6.416944, 1959-10-31,64,Matched,CHN13,No,No,,
Mia,Lewis,Female,53.334722,-6.416389, 1958-01-15,66,To be matched,CHN13,Yes,No,,
Logan,Miller,Male,53.335556,-6.417222, 1963-03-29,61,Matched,CHN13,No,No,,
Oliver,Hall,Male,53.335,-6.416111, 1956-06-20,67,To be matched,CHN13,No,No,,
Charlotte,Scott,Female,53.334722,-6.416389, 1960-12-11,63,Matched,CHN13,No,No,,
Benjamin,Turner,Male,53.335833,-6.4175, 1961-09-07,62,Matched,CHN13,No,Yes,,
Sophia,Parker,Female,53.334444,-6.417222, 1966-08-12,57,To be matched,CHN13,Yes,No,,
William,Adams,Male,53.335278,-6.416944, 1965-04-05,58,Matched,CHN13,No,No,,
Ella,Wilson,Female,53.334722,-6.416389, 1967-11-09,56,Matched,CHN13,No,No,,
Aria,Reed,Female,53.335556,-6.417222, 1961-02-23,63,To be matched,CHN13,No,No,,
Jacob,Carter,Male,53.335,-6.416111, 1964-10-16,59,Matched,CHN13,No,No,,
Lily,Turner,Female,53.334444,-6.417222, 1967-07-19,56,To be matched,CHN13,Yes,No,,
Oliver,Moore,Male,53.335833,-6.4175, 1962-12-03,61,Matched,CHN13,No,Yes,,
Olivia,Smith,Female,53.334722,-6.416389, 1958-03-18,66,To be matched,CHN13,No,No,,
Liam,Johnson,Male,53.335,-6.416111, 1957-09-14,66,Matched,CHN13,No,No,,
Emma,Brown,Female,53.334444,-6.417222, 1964-01-28,60,Matched,CHN13,No,No,,
James,Williams,Male,53.335278,-6.416944, 1968-05-07,55,To be matched,CHN13,Yes,No,,
Sophia,Anderson,Female,53.334722,-6.416389, 1959-11-02,64,Matched,CHN13,No,No,,
Lucas,Jones,Male,53.335833,-6.4175, 1966-08-01,57,Matched,CHN13,No,No,,
Ava,Taylor,Female,53.334444,-6.417222, 1962-04-16,61,To be matched,CHN13,No,Yes,,
Ethan,Clark,Male,53.335278,-6.416944, 1965-05-25,58,Matched,CHN13,No,No,,
Mia,Lewis,Female,53.334722,-6.416389, 1956-07-12,67,To be matched,CHN13,Yes,No,,
Logan,Miller,Male,53.335556,-6.417222, 1963-10-24,60,Matched,CHN13,No,No,,
Oliver,Moore,Male,53.301111,-6.222222, 1959-08-10,64,To be matched,CHN14,No,No,,
Olivia,Smith,Female,53.303333,-6.223333, 1960-03-27,64,Matched,CHN14,No,No,,
Liam,Johnson,Male,53.3,-6.221111, 1957-04-09,66,Matched,CHN14,No,No,,
Emma,Brown,Female,53.302222,-6.222222, 1964-06-14,59,To be matched,CHN14,Yes,Yes,,
James,Williams,Male,53.301111,-6.223333, 1967-09-27,56,Matched,CHN14,No,No,,
Sophia,Anderson,Female,53.303333,-6.224444, 1969-01-30,55,Matched,CHN14,No,No,,
Lucas,Jones,Male,53.300556,-6.221667, 1956-02-05,68,To be matched,CHN14,No,No,,
Ava,Taylor,Female,53.302778,-6.223889, 1961-03-21,63,Matched,CHN14,No,No,,
Ethan,Clark,Male,53.301111,-6.224444, 1967-04-15,56,To be matched,CHN14,Yes,No,,
Mia,Lewis,Female,53.303889,-6.221111, 1969-05-12,54,Matched,CHN14,No,No,,
Logan,Miller,Male,53.3,-6.222222, 1965-11-08,58,To be matched,CHN14,No,Yes,,
Oliver,Hall,Male,53.302222,-6.223333, 1960-08-22,63,Matched,CHN14,No,No,,
Charlotte,Scott,Female,53.301111,-6.224444, 1958-01-11,66,Matched,CHN14,No,No,,
Benjamin,Turner,Male,53.303333,-6.221111, 1963-07-01,60,To be matched,CHN14,Yes,No,,
Sophia,Parker,Female,53.300556,-6.221667, 1966-02-14,58,Matched,CHN14,No,No,,
William,Adams,Male,53.302778,-6.223889, 1962-09-09,61,Matched,CHN14,No,No,,
Ella,Wilson,Female,53.301111,-6.224444, 1964-11-05,59,To be matched,CHN14,No,No,,
Aria,Reed,Female,53.303889,-6.221111, 1961-12-19,62,Matched,CHN14,No,Yes,,
Jacob,Carter,Male,53.3,-6.222222, 1956-10-28,67,To be matched,CHN14,Yes,No,,
Lily,Turner,Female,53.302222,-6.223333, 1968-03-04,56,Matched,CHN14,No,No,,
Oliver,Moore,Male,53.301111,-6.224444, 1960-06-15,63,To be matched,CHN14,No,No,,
Olivia,Smith,Female,53.303333,-6.221111, 1959-07-09,64,Matched,CHN14,No,No,,
Liam,Johnson,Male,53.3,-6.222222, 1967-01-26,57,Matched,CHN14,No,No,,
Emma,Brown,Female,53.302222,-6.223333, 1969-06-17,54,To be matched,CHN14,Yes,No,,
James,Williams,Male,53.301111,-6.224444, 1957-04-02,67,Matched,CHN14,No,Yes,,
Sophia,Anderson,Female,53.303333,-6.221111, 1965-05-29,58,Matched,CHN14,No,No,,
Lucas,Jones,Male,53.300556,-6.222222, 1961-02-15,63,To be matched,CHN14,No,No,,
Ava,Taylor,Female,53.302778,-6.223889, 1958-11-08,65,Matched,CHN14,No,No,,
Ethan,Clark,Male,53.301111,-6.224444, 1964-07-21,59,To be matched,CHN14,Yes,No,,
Mia,Lewis,Female,53.303889,-6.221111, 1962-08-07,61,Matched,CHN14,No,No,,
Logan,Miller,Male,53.3,-6.222222, 1963-09-23,60,To be matched,CHN14,No,No,,
Oliver,Hall,Male,53.302222,-6.223333, 1960-10-12,63,Matched,CHN14,No,Yes,,
Charlotte,Scott,Female,53.301111,-6.224444, 1956-03-01,68,Matched,CHN14,No,No,,
Benjamin,Turner,Male,53.303333,-6.221111, 1965-08-15,58,To be matched,CHN14,Yes,No,,
Sophia,Parker,Female,53.300556,-6.222222, 1958-03-22,66,Matched,CHN14,No,No,,
William,Adams,Male,53.302778,-6.223889, 1962-12-09,61,Matched,CHN14,No,No,,
Ella,Wilson,Female,53.301111,-6.224444, 1970-06-18,53,To be matched,CHN14,No,No,,
Aria,Reed,Female,53.303889,-6.221111, 1968-09-05,55,Matched,CHN14,No,No,,
Jacob,Carter,Male,53.3,-6.222222, 1957-07-30,66,To be matched,CHN14,Yes,Yes,,
,,,,,,,,,No,No,,
